Ciclo,Mínimo,Máximo,Cromosoma máximo decimal,Cromosoma máximo,Promedio
1,0.006755449554558494,0.9781256754952874,1061933201,111111010010111101000010010001,0.488274436036744
2,0.2154707117505558,0.8683287738583965,1000557302,111011101000110100101011110110,0.5778250786261518
3,0.8356881583848569,0.8683644617521862,1000577863,111011101000111001101101000111,0.850516669181121
4,0.8392291935567189,0.8701497306660831,1001605878,111011101100110100101011110110,0.8597979904520905
5,0.1864871700394107,0.8701497306660831,1001605878,111011101100110100101011110110,0.8005194935016011
6,0.8683287738583965,0.8702066662999683,1001638646,111011101100111100101011110110,0.8690735423854458
7,0.8394878156035036,0.877509805435658,1005832950,111011111100111100101011110110,0.8672953290576737
8,0.8556637903892865,0.8702137833851713,1001642742,111011101100111101101011110110,0.8683689585355377
9,0.8701497306660831,0.8702138633135394,1001642788,111011101100111101101100100100,0.870191033022343
10,0.8128869269876532,0.8775169488334852,1005837044,111011111100111101101011110100,0.8637563854177508
11,0.8701867608568238,0.8775169261504465,1005837031,111011111100111101101011100111,0.8716710384468935
12,0.1907548715293955,0.8784248435948352,1006357238,111011111110111100101011110110,0.8067391192228925
13,0.4716375753466247,0.8784248435948352,1006357238,111011111110111100101011110110,0.8356474576959787
14,0.1907582102278606,0.8784248575608475,1006357246,111011111110111100101011111110,0.807011485168642
15,0.870206680200497,0.8788825414883584,1006619382,111011111111111100101011110110,0.8760991497598811
16,0.6601357024553902,0.9994864955549654,1073466102,111111111110111100101011110110,0.8687957612835646
17,0.4723084894047919,0.9994864955549654,1073466102,111111111110111100101011110110,0.8442085894320435
18,0.8784246341046642,0.9985104222394245,1072941814,111111111100111100101011110110,0.8905749863824657
19,0.8711250244802274,0.9985104222394245,1072941814,111111111100111100101011110110,0.9016243341812136
20,0.8752385713779892,0.9985104222394245,1072941814,111111111100111100101011110110,0.9143149723100296
21,0.877509805435658,0.9989984011542622,1073203959,111111111101111100101011110111,0.9383228105293322
22,0.8788825414883584,0.9989983992925501,1073203958,111111111101111100101011110110,0.9387511685160913
23,0.8788825414883584,0.9989984011542622,1073203959,111111111101111100101011110111,0.9627238013004407
24,0.8788968464683838,0.9989984011542622,1073203959,111111111101111100101011110111,0.9748329999872581
25,0.9375062118876157,0.9989984011542622,1073203959,111111111101111100101011110111,0.9927527041355836
26,0.9912050734117506,0.9999747128892921,1073728247,111111111111111100101011110111,0.9982694251067672
27,0.7647486321720869,0.9999747073014272,1073728244,111111111111111100101011110100,0.9756237660886994
28,0.9970472063357866,0.9999747110266705,1073728246,111111111111111100101011110110,0.9989985276360815
29,0.9912050418863364,0.9999747128892921,1073728247,111111111111111100101011110111,0.998463156574466
30,0.9989945883715078,0.9999899715436499,1073736439,111111111111111110101011110111,0.9996585483395914
31,0.7656162249001108,0.9999899715436499,1073736439,111111111111111110101011110111,0.9763725752121497
32,0.9689842688350242,0.9999904483784744,1073736695,111111111111111110101111110111,0.9967826626250768
33,0.2499873560589272,0.9999904483784744,1073736695,111111111111111110101111110111,0.9217855242978918
34,0.9988763957149962,0.9999904483784744,1073736695,111111111111111110101111110111,0.9998742211489204
35,0.9384673093109714,0.9999904483784744,1073736695,111111111111111110101111110111,0.9907374531877517
36,0.9384673093109714,0.9999904483784744,1073736695,111111111111111110101111110111,0.9938381314915061
37,0.9844265581425076,0.9999904483784744,1073736695,111111111111111110101111110111,0.9968761444654815
38,0.9999599311788981,0.9999904483784744,1073736695,111111111111111110101111110111,0.9999843449385593
